step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
125,93352,1000,0.03218703280086426,0.25,0.625,,,,,
126,93936,1008,0.030764333422974036,0.625,0.8235294117647058,,,,,
127,94968,1016,0.01801887316518631,0.375,0.6875,,,,,
128,95616,1024,0.02391210194170344,0.375,0.6666666666666666,,,,,
129,96392,1032,0.029719082227937482,0.375,0.7058823529411765,0.03160256201082575,0.125,0.65,,
130,97168,1040,0.02476888725829743,0.25,0.6470588235294118,,,,,
131,97880,1048,0.028043663983827915,0.625,0.8571428571428571,,,,,
132,98656,1056,0.02271604250722627,0.375,0.6666666666666666,,,,,
133,99240,1064,0.03164666626456994,0.375,0.7058823529411765,,,,,
134,99888,1072,0.0299782455271752,0.375,0.7058823529411765,,,,,
135,100664,1080,0.02620703247676033,0.25,0.5714285714285714,,,,,
136,101248,1088,0.0339600338345402,0.0,0.5,,,,,
137,102280,1096,0.01999221695269291,0.625,0.8421052631578947,0.02356943017049919,0.375,0.7058823529411765,,
138,102864,1104,0.03375476252857576,0.25,0.6666666666666666,,,,,
139,103704,1112,0.022474662424066573,0.5,0.7142857142857143,,,,,
140,104288,1120,0.028501437592313876,0.5,0.7142857142857143,,,,,
141,104936,1128,0.03306289080805755,0.25,0.625,,,,,
142,105648,1136,0.026614958995514828,0.375,0.75,,,,,
143,106232,1144,0.03016774395624774,0.5,0.75,,,,,
144,106944,1152,0.024148457713560098,0.625,0.8235294117647058,,,,,
145,107528,1160,0.035986326255444706,0.0,0.3333333333333333,0.02499296244127259,0.625,0.8,,
146,108176,1168,0.023998846950181358,0.75,0.8181818181818182,,,,,
147,108760,1176,0.033656888169158364,0.375,0.7058823529411765,,,,,
148,109344,1184,0.03099779912041008,0.375,0.7222222222222222,,,,,
149,110184,1192,0.0172804112337193,0.625,0.8,,,,,
150,111088,1200,0.021641962011301853,0.25,0.6470588235294118,,,,,
151,111992,1208,0.017932227040253355,0.5,0.7647058823529411,,,,,
152,112768,1216,0.024548242078674887,0.125,0.5882352941176471,,,,,
153,113736,1224,0.017944898050283275,0.625,0.8333333333333334,0.018208963196454278,0.625,0.8333333333333334,,
154,114384,1232,0.02851912091376062,0.5,0.7647058823529411,,,,,
155,115032,1240,0.024386416715366975,0.625,0.8235294117647058,,,,,
156,115680,1248,0.026303909407188714,0.375,0.6875,,,,,
157,116584,1256,0.025057338965998495,0.375,0.6428571428571429,,,,,
158,117168,1264,0.027890855281733216,0.625,0.8125,,,,,
159,117688,1272,0.024693373562884632,0.75,0.8571428571428571,,,,,
160,118272,1280,0.03273168796401832,0.375,0.7058823529411765,,,,,
161,119176,1288,0.019024926251712322,0.5,0.6666666666666666,0.02108173618546895,0.5,0.7142857142857143,,
162,119824,1296,0.034688667079451986,0.5,0.7647058823529411,,,,,
163,120472,1304,0.02622211053347428,0.625,0.8,,,,,
164,122016,1312,0.013278364318336839,0.75,0.875,,,,,
165,122600,1320,0.03368716934819657,0.5,0.7647058823529411,,,,,
166,123440,1328,0.0230016969194642,0.5,0.6923076923076923,,,,,
167,124216,1336,0.016719180512074747,0.875,0.9090909090909091,,,,,
168,124864,1344,0.025094163729738283,0.5,0.7647058823529411,,,,,
169,125512,1352,0.021944140575927577,0.75,0.8666666666666667,0.02924931214759363,0.375,0.6153846153846154,,
170,126480,1360,0.02288898280046662,0.5,0.75,,,,,
171,127192,1368,0.02531285974900527,0.375,0.6153846153846154,,,,,
172,127648,1376,0.030945904243675874,0.5,0.7777777777777778,,,,,
173,128936,1384,0.012594111189076685,0.5,0.7777777777777778,,,,,
174,130288,1392,0.015336362710296229,0.375,0.6428571428571429,,,,,
175,130936,1400,0.023567040230095697,0.75,0.8666666666666667,,,,,
176,131520,1408,0.025606297670431863,0.625,0.7692307692307693,,,,,
177,132232,1416,0.028514942533097595,0.5,0.6666666666666666,0.029549207883442605,0.125,0.46153846153846156,,
178,133008,1424,0.03188200825523267,0.375,0.6875,,,,,
179,133656,1432,0.023254357182674084,0.75,0.8571428571428571,,,,,
180,134240,1440,0.026489687757151676,0.625,0.8,,,,,
181,135080,1448,0.019580548318638195,0.75,0.8571428571428571,,,,,
182,136048,1456,0.0219811581042574,0.375,0.7058823529411765,,,,,
183,136696,1464,0.028190886240137842,0.375,0.75,,,,,
184,137216,1472,0.03762040172797185,0.375,0.6875,,,,,
185,137800,1480,0.026486761998821502,0.75,0.875,0.03218739386271105,0.375,0.6428571428571429,,
186,138320,1488,0.031221923082285344,0.625,0.8421052631578947,,,,,
187,138840,1496,0.03765554376306141,0.375,0.7058823529411765,,,,,
188,139488,1504,0.031927803635878264,0.375,0.6875,,,,,
189,139944,1512,0.033646740363051326,0.5,0.75,,,,,
190,140464,1520,0.030491863608043273,0.5,0.7647058823529411,,,,,
191,141496,1528,0.017026867642251628,0.5,0.7333333333333333,,,,,
192,142336,1536,0.020124821359666804,0.375,0.7222222222222222,,,,,
193,143112,1544,0.022181090141006055,0.5,0.6666666666666666,0.011888047544753137,0.75,0.8461538461538461,,
194,143760,1552,0.026306189625534444,0.5,0.7333333333333333,,,,,
195,144472,1560,0.025876351540126217,0.625,0.8,,,,,
196,145312,1568,0.023183203137915855,0.375,0.6666666666666666,,,,,
197,145960,1576,0.026475653744309057,0.625,0.8,,,,,
198,147632,1584,0.01260583092097783,0.375,0.7058823529411765,,,,,
199,148280,1592,0.028080706793134826,0.625,0.7692307692307693,,,,,
200,149056,1600,0.023547236352295234,0.5,0.6923076923076923,,,,,
201,149704,1608,0.02537570799094601,0.5,0.75,0.019169315668306913,0.75,0.8666666666666667,,
202,150416,1616,0.02298081069764356,0.5,0.75,,,,,
203,151000,1624,0.024800014430363462,0.625,0.8333333333333334,,,,,
204,151712,1632,0.02296741313740478,0.75,0.875,,,,,
205,152552,1640,0.019148507353674384,0.625,0.8,,,,,
206,153520,1648,0.017800873903284813,0.5,0.7777777777777778,,,,,
207,154104,1656,0.024597981734658686,0.75,0.875,,,,,
208,154944,1664,0.016860713276969013,0.75,0.8823529411764706,,,,,
209,155592,1672,0.021135001723303504,0.875,0.9523809523809523,0.03083979779266087,0.5,0.7777777777777778,,
210,156176,1680,0.033460902314582194,0.5,0.75,,,,,
211,156952,1688,0.023288645988772793,0.5,0.75,,,,,
212,157664,1696,0.023326809938687555,0.75,0.8888888888888888,,,,,
213,158248,1704,0.02719902216595781,0.375,0.6875,,,,,
214,159088,1712,0.025788860185164315,0.375,0.6875,,,,,
215,159864,1720,0.027106700886988622,0.5,0.75,,,,,
216,160512,1728,0.03393728436952119,0.125,0.5625,,,,,
217,161736,1736,0.016238785992296757,0.5,0.75,0.02511500344441629,0.625,0.8125,,
218,162960,1744,0.011903006632715724,0.875,0.9333333333333333,,,,,
219,163736,1752,0.025780428255789047,0.25,0.6666666666666666,,,,,
220,164384,1760,0.024165901601974835,0.75,0.8181818181818182,,,,,
221,164840,1768,0.03375702243938771,0.25,0.6666666666666666,,,,,
222,165360,1776,0.03135317752539336,0.375,0.7058823529411765,,,,,
223,166072,1784,0.020631102855356645,0.875,0.9411764705882353,,,,,
224,167360,1792,0.015723026142782433,0.5,0.75,,,,,
225,167944,1800,0.031305778219348206,0.25,0.625,0.020451248425196352,0.5,0.7777777777777778,,
226,168592,1808,0.02517023192580927,0.5,0.8,,,,,
227,169816,1816,0.01917211643303529,0.375,0.6875,,,,,
228,170528,1824,0.02296323766531011,0.5,0.75,,,,,
229,171176,1832,0.027435061112458352,0.5,0.75,,,,,
230,171888,1840,0.02506784015946447,0.375,0.7058823529411765,,,,,
231,172664,1848,0.024005299725476256,0.375,0.7058823529411765,,,,,
232,173376,1856,0.021979829328326806,0.75,0.8666666666666667,,,,,
233,174024,1864,0.01903311429743678,0.875,0.9166666666666666,0.025318786823222007,0.375,0.5833333333333334,,
234,174736,1872,0.01886762461458933,1.0,1.0,,,,,
235,175576,1880,0.026356772541572496,0.375,0.6153846153846154,,,,,
236,176416,1888,0.026033288912062746,0.375,0.7222222222222222,,,,,
237,177128,1896,0.028336419796054214,0.375,0.6875,,,,,
238,177648,1904,0.02176510763355736,0.875,0.9411764705882353,,,,,
239,178296,1912,0.02417258106346276,0.625,0.8333333333333334,,,,,
240,178880,1920,0.02679842521207825,0.875,0.9523809523809523,,,,,
241,179528,1928,0.030908231535044933,0.625,0.7692307692307693,0.020634425603035,0.25,0.5384615384615384,,
242,180240,1936,0.02186632302717292,0.75,0.8947368421052632,,,,,
243,181016,1944,0.017391328971921024,0.5,0.7647058823529411,,,,,
244,181920,1952,0.024644043994377886,0.5,0.7333333333333333,,,,,
245,182568,1960,0.021885406537584234,0.75,0.875,,,,,
246,183216,1968,0.019611534689966223,0.625,0.8125,,,,,
247,184248,1976,0.014154502057296839,0.875,0.9375,,,,,
248,185600,1984,0.013524798074787823,0.5,0.7333333333333333,,,,,
249,186120,1992,0.019471250668784423,1.0,1.0,0.027848445265713506,0.75,0.8823529411764706,,
250,186640,2000,0.04613695391180556,0.25,0.7,,,,,
251,187224,2008,0.02182030315951174,0.75,0.875,,,,,
252,187808,2016,0.03413621012705284,0.5,0.6666666666666666,,,,,
253,188392,2024,0.03153937862636516,0.5,0.7894736842105263,,,,,
254,190128,2032,0.013362115926627801,0.25,0.6666666666666666,,,,,
255,190776,2040,0.031691293844250366,0.375,0.7222222222222222,,,,,
256,191296,2048,0.03419791457920823,0.25,0.5714285714285714,,,,,
257,191816,2056,0.024162427038334898,0.625,0.8235294117647058,0.022633573361286873,0.375,0.6875,,
258,192656,2064,0.020440198845758373,0.375,0.5833333333333334,,,,,
259,193368,2072,0.021846765023100054,0.75,0.8823529411764706,,,,,
260,194080,2080,0.031288148057552694,0.25,0.5714285714285714,,,,,
261,194920,2088,0.027973254062677422,0.375,0.7222222222222222,,,,,
262,195568,2096,0.02587607310979752,0.5,0.7777777777777778,,,,,
263,196280,2104,0.0206363905326657,0.625,0.8,,,,,
264,196928,2112,0.023150255578537896,0.5,0.6923076923076923,,,,,
265,197448,2120,0.030951363095252586,0.625,0.75,0.03062249225434812,0.75,0.8823529411764706,,
266,198160,2128,0.0286833860453366,0.125,0.5882352941176471,,,,,
267,198744,2136,0.02903769936489577,0.375,0.6875,,,,,
268,199392,2144,0.025219803230129633,0.875,0.9375,,,,,
269,200296,2152,0.018890747215835082,0.625,0.8333333333333334,,,,,
270,200880,2160,0.02276761143816177,0.625,0.8235294117647058,,,,,
271,201464,2168,0.020699343012250005,0.75,0.9,,,,,
272,202304,2176,0.021883396476965015,0.625,0.8333333333333334,,,,,
273,202888,2184,0.029752606995760593,0.625,0.8421052631578947,0.0286128640489026,0.125,0.4166666666666667,,
274,203408,2192,0.03066578978863959,0.625,0.8333333333333334,,,,,
275,204120,2200,0.02844753171628368,0.25,0.5714285714285714,,,,,
276,204832,2208,0.024940093041526244,0.375,0.6666666666666666,,,,,
277,205736,2216,0.02018842786877063,0.625,0.8421052631578947,,,,,
278,206384,2224,0.026285871362493253,0.625,0.8571428571428571,,,,,
279,207160,2232,0.0185432253983322,0.875,0.9166666666666666,,,,,
280,207616,2240,0.023639242327172138,0.75,0.8947368421052632,,,,,
281,208264,2248,0.028761588222951107,0.375,0.6428571428571429,0.026412702614636033,0.75,0.8888888888888888,,
282,208848,2256,0.02312623437997622,0.75,0.875,,,,,
283,209688,2264,0.02202900473252909,0.625,0.8,,,,,
284,210464,2272,0.024968881123436763,0.75,0.9,,,,,
285,210984,2280,0.028012377080498394,0.375,0.7368421052631579,,,,,
286,211696,2288,0.02446040276006091,0.625,0.7,,,,,
287,212664,2296,0.020140947938138195,0.5,0.7777777777777778,,,,,
288,213184,2304,0.03323246793652714,0.375,0.7058823529411765,,,,,
289,213832,2312,0.018905301046154364,0.75,0.8461538461538461,0.02184907098561325,0.75,0.8666666666666667,,
290,214800,2320,0.015686296526341573,0.625,0.8125,,,,,
291,215448,2328,0.021447033128577687,0.875,0.9444444444444444,,,,,
292,216032,2336,0.025946717695009815,0.5,0.75,,,,,
293,216808,2344,0.020828677365601605,0.625,0.7857142857142857,,,,,
294,217328,2352,0.027613157155935965,0.625,0.8333333333333334,,,,,
295,217976,2360,0.020295342239213258,0.75,0.8823529411764706,,,,,
296,218752,2368,0.019271601448290095,0.625,0.8,,,,,
297,219272,2376,0.036331245650753206,0.375,0.75,0.02307606812985938,0.625,0.8235294117647058,,
298,219856,2384,0.029346267028216872,0.5,0.6923076923076923,,,,,
299,220376,2392,0.02736464622139735,0.75,0.8666666666666667,,,,,
300,221344,2400,0.018606059008209892,0.625,0.8235294117647058,,,,,
301,221864,2408,0.02755805647338406,0.75,0.8666666666666667,,,,,
302,222512,2416,0.025582381227925,0.5,0.75,,,,,
303,223800,2424,0.012456799957420231,0.875,0.9333333333333333,,,,,
304,224320,2432,0.027707908701513018,0.75,0.8888888888888888,,,,,
305,225032,2440,0.027215888889222283,0.5,0.7894736842105263,0.021298765832000528,0.875,0.9411764705882353,,
306,225616,2448,0.020867219746442248,0.625,0.8235294117647058,,,,,
307,226328,2456,0.028656249611890207,0.375,0.6666666666666666,,,,,
308,227360,2464,0.024462479333444514,0.25,0.6842105263157895,,,,,
309,228136,2472,0.01914470320254433,0.75,0.8571428571428571,,,,,
310,228848,2480,0.02112015843606452,0.75,0.9047619047619048,,,,,
311,229560,2488,0.025495184361868727,0.5,0.7142857142857143,,,,,
312,230272,2496,0.022401524371898632,0.625,0.8333333333333334,,,,,
313,231176,2504,0.015131795723564373,1.0,1.0,0.013904090572879642,1.0,1.0,,
314,231760,2512,0.02447330493043852,0.75,0.875,,,,,
315,232408,2520,0.02092126163073658,0.75,0.8571428571428571,,,,,
316,232992,2528,0.027049300928969285,0.5,0.7647058823529411,,,,,
317,233576,2536,0.026127434266683548,0.75,0.8823529411764706,,,,,
318,234224,2544,0.020214592920029188,0.75,0.8666666666666667,,,,,
319,235064,2552,0.01927280065987203,0.625,0.8235294117647058,,,,,
320,235904,2560,0.021462561488241102,0.5,0.7142857142857143,,,,,
321,236616,2568,0.022576768521812483,0.625,0.8333333333333334,0.0200748613057038,0.875,0.9285714285714286,,
322,237712,2576,0.013742978847534944,0.75,0.8571428571428571,,,,,
323,238232,2584,0.031506354875396596,0.625,0.8235294117647058,,,,,
324,238880,2592,0.020723696158497208,0.75,0.8823529411764706,,,,,
325,239656,2600,0.01766987084824734,0.625,0.8125,,,,,
326,240304,2608,0.026538956671038134,0.625,0.8125,,,,,
327,240952,2616,0.036139824864824054,0.375,0.7368421052631579,,,,,
328,241600,2624,0.023273298267217343,0.75,0.8571428571428571,,,,,
329,242120,2632,0.03186777812041271,0.625,0.8,0.023022989570507663,0.625,0.85,,
330,242768,2640,0.0314938379679968,0.5,0.75,,,,,
331,243608,2648,0.01653273624377894,0.625,0.7692307692307693,,,,,
332,244192,2656,0.02618947192346367,0.375,0.7222222222222222,,,,,
333,244904,2664,0.02233883873696021,0.625,0.75,,,,,
334,245488,2672,0.03071413895737224,0.5,0.7647058823529411,,,,,
335,246200,2680,0.025483183490421824,0.75,0.8888888888888888,,,,,
336,247040,2688,0.022884704871963337,0.75,0.9,,,,,
337,247880,2696,0.017604437192398844,0.75,0.8888888888888888,0.02377342115697962,0.5,0.7777777777777778,,
338,248656,2704,0.026463948755830507,0.25,0.5384615384615384,,,,,
339,249496,2712,0.019898301022632008,0.75,0.9,,,,,
340,250208,2720,0.027759979927072683,0.625,0.8235294117647058,,,,,
341,250920,2728,0.01724073078049018,0.75,0.875,,,,,
342,251504,2736,0.0243733904610436,0.625,0.7857142857142857,,,,,
343,252088,2744,0.023784122325225525,0.625,0.7857142857142857,,,,,
344,252672,2752,0.024732342111981827,0.625,0.7857142857142857,,,,,
345,253384,2760,0.020507952948731725,0.75,0.8571428571428571,0.02748861347525633,0.375,0.7058823529411765,,
346,253968,2768,0.03620612951198229,0.375,0.7058823529411765,,,,,
347,254744,2776,0.022855482755635422,0.375,0.6428571428571429,,,,,
348,255328,2784,0.02175430618378338,0.5,0.7142857142857143,,,,,
349,256296,2792,0.018733962467492725,0.75,0.875,,,,,
350,256816,2800,0.028346652441259716,0.75,0.875,,,,,
351,257400,2808,0.028737560984335022,0.125,0.5333333333333333,,,,,
352,257984,2816,0.022718511264316073,0.75,0.8947368421052632,,,,,
353,258696,2824,0.021128915523417245,0.75,0.875,0.02652790286875314,0.5,0.75,,
354,259536,2832,0.01968909703626633,0.625,0.8333333333333334,,,,,
355,260120,2840,0.02954026504720989,0.75,0.8823529411764706,,,,,
356,260960,2848,0.024642550700870673,0.25,0.625,,,,,
357,261864,2856,0.018427018247242098,0.875,0.9444444444444444,,,,,
358,262768,2864,0.02128850466800324,0.375,0.7058823529411765,,,,,
359,263544,2872,0.02715160182820227,0.375,0.7222222222222222,,,,,
360,264192,2880,0.02478193627632481,0.5,0.6923076923076923,,,,,
361,264840,2888,0.020184644769507033,0.75,0.8666666666666667,0.02392411533948297,0.625,0.8,,
362,265488,2896,0.025305263821604057,0.625,0.8125,,,,,
363,266328,2904,0.019707057239666377,0.625,0.8,,,,,
364,266912,2912,0.031220750660920657,0.375,0.75,,,,,
365,267752,2920,0.01982968897128969,0.625,0.8333333333333334,,,,,
366,268336,2928,0.028836429145816786,0.75,0.8571428571428571,,,,,
367,269176,2936,0.01595139062233259,0.875,0.9333333333333333,,,,,
368,269952,2944,0.022920410949286166,0.625,0.8421052631578947,,,,,
369,270856,2952,0.01983158404783483,0.875,0.9444444444444444,0.024460495663188624,0.875,0.9411764705882353,,
370,271504,2960,0.018287741682193426,0.75,0.875,,,,,
371,273048,2968,0.011872600766652523,0.625,0.8421052631578947,,,,,
372,273824,2976,0.02125484013898112,0.5,0.6923076923076923,,,,,
373,274408,2984,0.022651979364298237,0.75,0.8666666666666667,,,,,
374,274992,2992,0.022414437136408324,0.875,0.9375,,,,,
375,275576,3000,0.029407300327508587,0.5,0.8095238095238095,,,,,
376,276288,3008,0.022117033783451298,0.625,0.8125,,,,,
377,277000,3016,0.020225656628616043,0.625,0.8,0.03191470354913021,0.5,0.75,,
378,277584,3024,0.027355154733699955,0.625,0.8125,,,,,
379,278168,3032,0.020894863446413232,0.75,0.8823529411764706,,,,,
380,278816,3040,0.02239442124275428,0.625,0.8421052631578947,,,,,
381,279400,3048,0.027287487796128666,0.375,0.7368421052631579,,,,,
382,280624,3056,0.015565307538392402,0.625,0.85,,,,,
383,281336,3064,0.01827593545307588,0.875,0.9333333333333333,,,,,
384,282112,3072,0.02075837079148286,0.75,0.875,,,,,
385,282696,3080,0.025470626930547902,0.625,0.8235294117647058,0.01931995851845618,0.75,0.875,,
386,283344,3088,0.023364835098109552,0.625,0.8125,,,,,
387,283800,3096,0.03409145293093226,0.75,0.8666666666666667,,,,,
388,284512,3104,0.024890532336658257,0.625,0.8,,,,,
