step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
122,196048,976,0.01597907311167963,0.5,0.7333333333333333,,,,,
123,197976,984,0.016580120303518856,0.25,0.6842105263157895,,,,,
124,199264,992,0.01743508353389302,0.75,0.8571428571428571,,,,,
125,200872,1000,0.017746212012530377,0.375,0.6875,,,,,
126,202736,1008,0.013669245150321025,0.75,0.8888888888888888,,,,,
127,204152,1016,0.018747995307516148,0.5,0.7142857142857143,,,,,
128,206016,1024,0.013230900352022254,0.625,0.8333333333333334,,,,,
129,207624,1032,0.016683705130712788,0.25,0.6666666666666666,0.017219064026402452,0.5,0.7894736842105263,,
130,209040,1040,0.017944952672565004,0.125,0.6956521739130435,,,,,
131,210776,1048,0.01707054989965681,0.5,0.7894736842105263,,,,,
132,212384,1056,0.0184672464554228,0.25,0.6,,,,,
133,214248,1064,0.015622398290069272,0.125,0.5,,,,,
134,215920,1072,0.0163890774169509,0.5,0.6923076923076923,,,,,
135,217528,1080,0.017863733117490226,0.25,0.6,,,,,
136,219008,1088,0.018178337631722427,0.375,0.7222222222222222,,,,,
137,220872,1096,0.01369679034121932,0.375,0.6666666666666666,0.019888826479367128,0.375,0.7058823529411765,,
138,222480,1104,0.018798965981627974,0.25,0.625,,,,,
139,224088,1112,0.018931753771983747,0.25,0.6666666666666666,,,,,
140,225568,1120,0.01718991553475666,0.5,0.7894736842105263,,,,,
141,227304,1128,0.016072835757259357,0.5,0.75,,,,,
142,228784,1136,0.01879441268136434,0.125,0.5,,,,,
143,230328,1144,0.018548506621156705,0.25,0.5714285714285714,,,,,
144,232000,1152,0.017084353672321043,0.25,0.625,,,,,
145,233608,1160,0.015022569207672516,0.625,0.8,0.01314069117026712,0.625,0.8,,
146,235088,1168,0.016115569080269725,0.5,0.75,,,,,
147,236504,1176,0.018409843866183044,0.375,0.6666666666666666,,,,,
148,237920,1184,0.01925699132935235,0.375,0.7619047619047619,,,,,
149,239720,1192,0.013312132398148527,0.625,0.7857142857142857,,,,,
150,241200,1200,0.019183454799784887,0.375,0.6666666666666666,,,,,
151,242808,1208,0.016899618344198467,0.375,0.7058823529411765,,,,,
152,244352,1216,0.015952374519353375,0.625,0.8333333333333334,,,,,
153,246216,1224,0.01619572711213785,0.25,0.5384615384615384,0.020202018529417665,0.625,0.8,,
154,247760,1232,0.018925233065706645,0.625,0.8571428571428571,,,,,
155,250264,1240,0.011406012861962045,0.5,0.7777777777777778,,,,,
156,251744,1248,0.015607963211830469,0.5,0.7894736842105263,,,,,
157,253608,1256,0.014404292221941482,0.75,0.8461538461538461,,,,,
158,255152,1264,0.01619430284540827,0.875,0.9444444444444444,,,,,
159,256440,1272,0.019025570173142752,0.625,0.8125,,,,,
160,257856,1280,0.018698194113231335,0.375,0.6153846153846154,,,,,
161,259336,1288,0.016869555904208605,0.375,0.6875,0.015053048163803014,0.5,0.7894736842105263,,
162,261072,1296,0.015784923296694158,0.125,0.5,,,,,
163,262744,1304,0.015678219344823538,0.625,0.8125,,,,,
164,264352,1312,0.01931628216203514,0.375,0.7368421052631579,,,,,
165,265640,1320,0.018758544929540724,0.5,0.75,,,,,
166,267184,1328,0.016468071111700316,0.5,0.7058823529411765,,,,,
167,268536,1336,0.020903897038923973,0.25,0.5714285714285714,,,,,
168,269824,1344,0.015024039255674812,0.75,0.8888888888888888,,,,,
169,271368,1352,0.01800858288166136,0.375,0.7222222222222222,0.010190439854567319,0.625,0.8235294117647058,,
170,272720,1360,0.01727657823731857,0.5,0.7647058823529411,,,,,
171,274328,1368,0.015483929398971858,0.375,0.7222222222222222,,,,,
172,275936,1376,0.01702409796740256,0.75,0.8823529411764706,,,,,
173,277416,1384,0.01685968061739097,0.375,0.75,,,,,
174,279280,1392,0.017477657045315276,0.375,0.7058823529411765,,,,,
175,280824,1400,0.021159514497450602,0.25,0.7,,,,,
176,282560,1408,0.016374688516656428,0.375,0.7222222222222222,,,,,
177,284040,1416,0.019080442916614676,0.375,0.6666666666666666,0.022604536827238206,0.375,0.7222222222222222,,
178,285520,1424,0.013656915066853613,0.875,0.9444444444444444,,,,,
179,287384,1432,0.015790919824870082,0.5,0.7333333333333333,,,,,
180,289376,1440,0.012275283017660194,0.875,0.95,,,,,
181,291240,1448,0.011718027421784013,0.75,0.8823529411764706,,,,,
182,292656,1456,0.021586956130560882,0.375,0.7222222222222222,,,,,
183,294136,1464,0.018248689842043447,0.25,0.6,,,,,
184,295488,1472,0.018436636960049442,0.5,0.7894736842105263,,,,,
185,296904,1480,0.017605833806526968,0.375,0.6666666666666666,0.018539785927408434,0.5,0.6363636363636364,,
186,298576,1488,0.01402797596739226,0.625,0.7692307692307693,,,,,
187,300056,1496,0.018653239994937357,0.375,0.7368421052631579,,,,,
188,301728,1504,0.01886312321548591,0.125,0.65,,,,,
189,303656,1512,0.015207226402598214,0.25,0.6,,,,,
190,305072,1520,0.01567362847187376,0.625,0.8333333333333334,,,,,
191,307256,1528,0.01235519610014455,0.5,0.7647058823529411,,,,,
192,309248,1536,0.013275679182522041,0.375,0.7368421052631579,,,,,
193,310984,1544,0.014332345208250887,0.625,0.8235294117647058,0.017405931564473294,0.5,0.8095238095238095,,
194,312400,1552,0.018572107832678188,0.5,0.7777777777777778,,,,,
195,314328,1560,0.013982993792043789,0.375,0.7368421052631579,,,,,
196,315808,1568,0.017744026332066377,0.625,0.8235294117647058,,,,,
197,317480,1576,0.014976170755804905,0.375,0.6153846153846154,,,,,
198,318832,1584,0.018910697461564055,0.5,0.7333333333333333,,,,,
199,320824,1592,0.012264680504780853,0.5,0.7894736842105263,,,,,
200,322624,1600,0.015634859588268976,0.5,0.8,,,,,
201,324040,1608,0.017185835949679536,0.5,0.7333333333333333,0.01726672228317796,0.375,0.6875,,
202,326096,1616,0.013862385383823964,0.375,0.75,,,,,
203,327576,1624,0.014757385822743914,0.75,0.8823529411764706,,,,,
204,329248,1632,0.01822938296436768,0.5,0.7647058823529411,,,,,
205,330728,1640,0.014018739581867484,0.875,0.9444444444444444,,,,,
206,332080,1648,0.018631095742101388,0.5,0.7647058823529411,,,,,
207,333432,1656,0.017813285592182513,0.625,0.8421052631578947,,,,,
208,334976,1664,0.014260622500244817,0.75,0.9130434782608695,,,,,
209,336456,1672,0.013328153541228446,0.625,0.8235294117647058,0.01728037048423527,0.625,0.8125,,
210,337808,1680,0.017633204345430566,0.75,0.8888888888888888,,,,,
211,339288,1688,0.01479929500803719,0.75,0.8461538461538461,,,,,
212,340640,1696,0.01814755987710971,0.5,0.7142857142857143,,,,,
213,342312,1704,0.01678255800408583,0.375,0.6666666666666666,,,,,
214,344240,1712,0.01080462315404479,0.75,0.8571428571428571,,,,,
215,345592,1720,0.024488135065511507,0.25,0.7,,,,,
216,347328,1728,0.014090390188522301,0.5,0.75,,,,,
217,349128,1736,0.015102553760879742,0.5,0.8095238095238095,0.015247650434670868,0.75,0.8571428571428571,,
218,350480,1744,0.015078719805354558,0.875,0.9333333333333333,,,,,
219,351960,1752,0.015074163911137839,0.75,0.8571428571428571,,,,,
220,353248,1760,0.018443043918400105,0.625,0.8125,,,,,
221,354600,1768,0.016612821306023744,0.75,0.8888888888888888,,,,,
222,355696,1776,0.019386297432321356,0.625,0.8125,,,,,
223,357304,1784,0.016209978142312495,0.875,0.9411764705882353,,,,,
224,359168,1792,0.015401788513829496,0.375,0.6875,,,,,
225,361672,1800,0.01038117878635519,0.75,0.875,0.01681331460306318,0.875,0.9375,,
226,363536,1808,0.013111731837765454,0.5,0.7333333333333333,,,,,
227,364952,1816,0.015589538644387963,0.625,0.8235294117647058,,,,,
228,366944,1824,0.011914274297925735,0.75,0.8666666666666667,,,,,
229,368872,1832,0.01565037372398305,0.5,0.6923076923076923,,,,,
230,370224,1840,0.019546865925636436,0.375,0.6875,,,,,
231,371640,1848,0.015927464849581786,0.375,0.7058823529411765,,,,,
232,373184,1856,0.014391847485016693,0.375,0.6153846153846154,,,,,
233,374600,1864,0.013469243034815144,0.75,0.8461538461538461,0.017099441008174596,0.875,0.9473684210526315,,
234,375952,1872,0.014798996505489376,0.625,0.7,,,,,
235,377304,1880,0.01523670221046074,0.875,0.9444444444444444,,,,,
236,378720,1888,0.016410533056712105,0.75,0.8823529411764706,,,,,
237,380648,1896,0.011998851903058572,0.625,0.8421052631578947,,,,,
238,382192,1904,0.013705944784438923,0.875,0.9411764705882353,,,,,
239,383608,1912,0.016387853573763333,0.625,0.7857142857142857,,,,,
240,385216,1920,0.014371732088507137,0.75,0.9,,,,,
241,386760,1928,0.01490251437466668,0.625,0.8,0.01589813805285243,0.625,0.8333333333333334,,
242,388112,1936,0.01721370152704024,0.5,0.7333333333333333,,,,,
243,389656,1944,0.016324402787964296,0.375,0.6666666666666666,,,,,
244,391328,1952,0.016064531888666942,0.625,0.8571428571428571,,,,,
245,393192,1960,0.012559905599876364,0.75,0.9,,,,,
246,394672,1968,0.015411207102934827,0.5,0.6666666666666666,,,,,
247,396664,1976,0.014843266850941778,0.5,0.7333333333333333,,,,,
248,397888,1984,0.01732311061224983,0.75,0.8461538461538461,,,,,
249,399624,1992,0.01593243219930872,0.625,0.7857142857142857,0.012851776365231712,0.75,0.8461538461538461,,
250,401424,2000,0.012807919461657219,0.75,0.8666666666666667,,,,,
251,402968,2008,0.019995365915112116,0.25,0.6842105263157895,,,,,
252,404448,2016,0.014496730126804403,0.625,0.7857142857142857,,,,,
253,406376,2024,0.013312315689266779,0.625,0.8,,,,,
254,407984,2032,0.014489367467613192,0.625,0.8125,,,,,
255,409848,2040,0.012740968320200845,0.75,0.8888888888888888,,,,,
256,411584,2048,0.01485940251113317,0.625,0.7692307692307693,,,,,
257,413064,2056,0.01739531809726642,0.5,0.7647058823529411,0.01563581441673834,0.5,0.75,,
258,414608,2064,0.013781476002710293,0.875,0.9545454545454546,,,,,
259,415896,2072,0.01950860941470442,0.5,0.75,,,,,
260,417504,2080,0.018583427856795173,0.5,0.7142857142857143,,,,,
261,419048,2088,0.01408182904756621,0.875,0.9285714285714286,,,,,
262,420784,2096,0.01535660140187806,0.5,0.6923076923076923,,,,,
263,422648,2104,0.01455255986546701,0.625,0.8235294117647058,,,,,
264,424960,2112,0.011429519677856069,0.625,0.7857142857142857,,,,,
265,426312,2120,0.017829829106071844,0.5,0.7777777777777778,0.012684669136579202,0.75,0.875,,
266,428624,2128,0.008661815398348316,0.875,0.9285714285714286,,,,,
267,430168,2136,0.013771733694275333,0.625,0.8125,,,,,
268,431648,2144,0.01934273471489032,0.5,0.7333333333333333,,,,,
269,433320,2152,0.013212855508802128,0.875,0.9333333333333333,,,,,
270,434736,2160,0.013973398785963381,0.75,0.8571428571428571,,,,,
271,436024,2168,0.01598269173567555,0.625,0.7857142857142857,,,,,
272,438144,2176,0.008684959957142923,0.875,0.9375,,,,,
273,439432,2184,0.018569165125529318,0.75,0.9,0.018404509720516854,0.625,0.8235294117647058,,
274,441680,2192,0.012430048292125415,0.25,0.5714285714285714,,,,,
275,443416,2200,0.014185772077596547,0.75,0.875,,,,,
276,444896,2208,0.020478934100596945,0.5,0.7142857142857143,,,,,
277,446952,2216,0.01104044327250575,0.75,0.875,,,,,
278,448304,2224,0.018131790322040438,0.375,0.7727272727272727,,,,,
279,449656,2232,0.015315039189023768,0.75,0.8666666666666667,,,,,
280,451456,2240,0.014540992024204199,0.375,0.7058823529411765,,,,,
281,453640,2248,0.013489952896568387,0.5,0.75,0.012331371486126095,0.375,0.7619047619047619,,
282,454928,2256,0.017728848629455184,0.75,0.8823529411764706,,,,,
